,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
19700,Tnfrsf12a,65,50,19,14,37,18,5,1,242,140,174,218,227,28,32,14,13
4489,Defb19,35,30,21,11,13,12,7,6,242,194,200,214,225,22,18,14,5
12500,Nr0b2,74,54,17,7,32,24,3,1,242,136,164,222,234,42,30,14,6
6283,Fut1,74,49,19,11,50,28,5,1,242,118,165,218,230,24,21,14,10
6369,Gal,65,53,16,5,22,18,2,0,242,155,171,224,237,43,35,14,5
12035,Nat8f7,62,52,23,7,32,24,9,6,242,148,166,210,229,30,28,14,1
15921,Ramp3,55,45,20,11,56,29,6,0,242,131,168,216,231,-1,16,14,11
21218,Vpreb1,88,72,30,15,47,37,16,6,242,107,133,196,221,41,35,14,9
18271,Spon2,62,43,17,7,57,28,3,0,242,123,171,222,235,5,15,14,7
40,1700007K13Rik,82,62,25,13,51,44,11,3,242,109,136,206,226,31,18,14,10
10224,Krtap3-2,34,31,15,9,11,10,1,1,242,197,201,226,232,23,21,14,8
12446,Noxred1,93,64,22,9,48,32,8,5,242,101,146,212,228,45,32,14,4
3416,Cldn19,73,59,24,11,56,38,10,6,242,113,145,208,225,17,21,14,5
3433,Cldn6,63,50,18,8,44,28,4,0,242,135,164,220,234,19,22,14,8
16444,Rnf224,54,38,17,5,25,10,3,1,242,163,194,222,236,29,28,14,4
17984,Snapc1l,49,43,32,27,34,28,18,14,242,159,171,192,201,15,15,14,13
10002,Klf6,102,71,15,4,28,13,1,0,242,112,158,226,238,74,58,14,4
15979,Rasl11a,78,55,21,7,48,27,7,3,242,116,160,214,232,30,28,14,4
596,Acnat1,67,51,17,7,52,39,3,2,242,123,152,222,233,15,12,14,5
20626,Ugt1a10,36,29,20,11,20,11,6,3,242,186,202,216,228,16,18,14,8
8347,H2-Bl,75,54,25,10,45,30,11,2,242,122,158,206,230,30,24,14,8
6751,Gm10718,68,58,36,23,44,37,22,15,242,130,147,184,204,24,21,14,8
18656,Susd3,53,35,15,6,36,15,1,0,242,153,192,226,236,17,20,14,6
9543,Iqca1l,44,33,18,6,25,16,4,3,242,173,193,220,233,19,17,14,3
17137,Serpina3i,64,44,20,10,58,34,6,0,242,120,164,216,232,6,10,14,10
9310,Igkv8-28,22,21,16,12,12,9,2,1,242,208,212,224,229,10,12,14,11
12741,Obp2a,40,38,16,8,11,10,2,1,242,191,194,224,233,29,28,14,7
3204,Cfd,65,58,24,11,34,25,10,6,242,143,159,208,225,31,33,14,5
11854,Myc,84,61,16,4,48,29,3,0,242,110,152,223,238,36,32,13,4
20184,Trim72,84,57,15,7,36,16,2,0,242,122,169,225,235,48,41,13,7
16443,Rnf223,89,59,13,4,28,18,0,0,242,125,165,229,238,61,41,13,4
3412,Cldn15,93,70,16,5,48,22,3,1,242,101,150,223,236,45,48,13,4
16159,Retnlg,38,35,22,9,30,28,9,4,242,174,179,211,229,8,7,13,5
11663,Msantd1,94,67,19,4,42,27,6,2,242,106,148,217,236,52,40,13,2
20118,Trib2,53,41,17,5,76,49,4,0,242,113,152,221,237,-23,-8,13,5
2181,Bst2,84,49,17,6,31,17,4,2,242,127,176,221,234,53,32,13,4
