human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
ADAMTS12,Adamts12,-2,-1,-3,1.029126,0,0
ADAMTS13,Adamts13,9,6,15,14.456311,0,0
ADAMTS14,Adamts14,-6,3,-3,0,0,0
ADAMTS15,Adamts15,2,-1,1,3.174757,0,0
ADAMTS16,Adamts16,-4,1,-3,1.359223,0,0
ADAMTS17,Adamts17,2,-4,-2,0,0,0
ADAMTS18,Adamts18,3,1,4,0,0,0
ADAMTS19,Adamts19,4,-1,3,0.902913,0,0
ADAMTS2,Adamts2,-6,-3,-9,0,0,0
ADAMTS20,Adamts20,-3,-5,-8,0,0,0
ADAMTS3,Adamts3,4,5,9,3.990291,0,0
ADAMTS4,Adamts4,0,4,4,1.621359,0,0
ADAMTS5,Adamts5,-1,-7,-8,0,0,0
ADAMTS6,Adamts6,0,-5,-5,0,0,0
ADAMTS7,Adamts7,4,-2,2,0.660194,0,0
ADAMTS8,Adamts8,1,2,3,0,0,0
ADAMTS9,Adamts9,15,2,17,1.38835,0,0
ADAMTSL1,Adamtsl1,-3,0,-3,0,0,0
ADAMTSL2,Adamtsl2,5,8,13,0,0,0
ADAMTSL3,Adamtsl3,1,-1,0,0.737864,0,0
ADAMTSL4,Adamtsl4,10,-3,7,1.951456,0,0
ADAMTSL5,Adamtsl5,8,-11,-3,0,0,0
ADAP1,Adap1,22,-9,13,13.320388,0,0
ADAP2,Adap2,8,2,10,0,0,0
ADAR,Adar,7,-3,4,5.07767,0,0
ADARB1,Adarb1,1,-2,-1,0.92233,0,0
ADARB2,Adarb2,-3,-7,-10,0,0,0
ADAT1,Adat1,-4,-3,-7,6.436893,0,0
ADAT2,Adat2,1,-15,-14,46.194175,0,0
ADAT3,Adat3,1,-8,-7,8.378641,0,0
ADCK1,Adck1,8,-5,3,9.990291,0,0
ADCK2,Adck2,5,0,5,23.970874,0,0
ADCK5,Adck5,3,-8,-5,80.097087,75.166667,0
ADCY1,Adcy1,4,-3,1,0,0,0
ADCY10,Adcy10,97,-1,96,0,0,0
ADCY2,Adcy2,1,-1,0,6.339806,0,0
ADCY3,Adcy3,1,-3,-2,2.699029,0,0
ADCY4,Adcy4,3,-2,1,0,0,0
ADCY5,Adcy5,8,-3,5,5.825243,0,0
ADCY6,Adcy6,4,-8,-4,0,0,0
ADCY7,Adcy7,10,-8,2,11.631068,0,0
ADCY8,Adcy8,-4,-1,-5,0,0,0
ADCY9,Adcy9,7,1,8,0,0,0
ADCYAP1,Adcyap1,-1,-1,-2,0,0,0
ADCYAP1R1,Adcyap1r1,3,-1,2,0,0,0
ADD1,Add1,7,-4,3,6.349515,0,0
ADD2,Add2,5,-4,1,0,0,0
ADD3,Add3,7,-9,-2,0.873786,0,0
ADGB,Adgb,6,-10,-4,1.631068,0,0
ADGRA1,Adgra1,2,-5,-3,5.339806,0,0
ADGRA2,Adgra2,2,1,3,2.145631,0,0
ADGRA3,Adgra3,3,4,7,11.912621,0,0
ADGRB1,Adgrb1,6,-1,5,2.524272,0,0
ADGRB2,Adgrb2,6,3,9,17.407767,0,0
ADGRB3,Adgrb3,5,-5,0,3.825243,0,0
ADGRD1,Adgrd1,1,3,4,6.165049,0,0
ADGRE1,Adgre1,1,-4,-3,0,0,0
ADGRE5,Adgre5,-6,4,-2,5.145631,0,0
ADGRF1,Adgrf1,-15,6,-9,0,0,0
ADGRF2,Adgrf2,2,6,8,0,0,0
ADGRF3,Adgrf3,36,-17,19,9.970874,0,0
ADGRF4,Adgrf4,3,4,7,12.135922,0,0
ADGRF5,Adgrf5,1,-1,0,0,0,0
ADGRG1,Adgrg1,6,6,12,16.126214,0,0
ADGRG2,Adgrg2,-1,5,4,1.165049,0,0
ADGRG3,Adgrg3,-5,2,-3,0,0,0
ADGRG4,Adgrg4,0,3,3,0,0,0
ADGRG5,Adgrg5,5,-6,-1,0.834951,0,0
ADGRG6,Adgrg6,13,-2,11,44.650485,0,0
ADGRG7,Adgrg7,2,5,7,0,0,0
ADGRL1,Adgrl1,10,0,10,38.485437,0,0
ADGRL2,Adgrl2,25,-5,20,16.883495,0,0
ADGRL3,Adgrl3,3,-11,-8,2.106796,0,0
ADGRL4,Adgrl4,0,-1,-1,0,0,0
ADGRV1,Adgrv1,15,0,15,0,0,0
ADH4,Adh4,7,0,7,0,0,0
ADH5,Adh5,0,5,5,3.757282,0,0
ADH7,Adh7,-1,-5,-6,0,0,0
ADHFE1,Adhfe1,19,3,22,6.757282,0,0
