GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Dolpp1,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,1,20,19,-1,242,-5
Cwc27,3,0,169,0,0,9,0,0,2,166,3,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,1,20,19,-1,242,-5
Gm8104,5,10,169,0,0,9,0,0,2,154,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Spice1,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Dnajc2,3,2,169,0,0,9,0,0,2,164,1,9,0,2,0,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Dnajc24,2,2,169,0,0,9,0,1,2,165,0,9,0,1,-1,0,5,34,29,-5,0,0,8,8,0,1,0,20,19,1,242,-5
Dnajc25,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,0,20,20,0,242,-5
Ctxn1,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,1,0,20,19,1,242,-5
Tmem63c,2,9,169,0,0,9,0,0,2,158,-7,9,0,2,0,2,0,34,32,2,0,0,8,8,0,0,0,20,20,0,242,-5
Gm8212,3,8,169,0,0,9,0,0,2,158,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Gm8220,11,17,169,0,0,9,0,0,2,141,-6,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,-5
Ctps,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,1,1,20,18,0,242,-5
