GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
THEGL,28,1,192,0,0,11,21,0,34,0,0,8,26,0,31,3,0,3,0,0,2,0,0,6,0,1,7,0,0,4,3,0,24,322,322,163,27,11,0,13,21,8,0,5,26,0,3,2,0,6,0,6,-1,4,0,21,3,79
CHORDC1,29,0,192,0,0,11,14,0,34,6,0,8,24,0,31,2,0,3,2,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,163,29,11,0,20,14,2,6,7,24,1,2,0,2,6,0,7,0,4,0,22,2,79
DUX4,44,1,192,0,0,11,20,0,34,0,0,8,18,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,0,3,24,322,322,147,43,11,0,14,20,8,0,13,18,3,0,2,0,6,0,7,0,4,0,21,-3,78
CCNP,34,3,192,1,0,11,15,0,34,0,1,8,24,0,31,2,0,3,2,0,2,0,0,6,0,0,7,3,0,4,1,0,24,322,322,155,31,10,1,19,15,7,-1,7,24,1,2,0,2,6,0,7,0,1,3,23,1,78
HSPB9,53,4,192,1,0,11,6,2,34,0,3,8,20,0,31,2,0,3,1,0,2,0,0,6,3,1,7,0,0,4,0,0,24,322,322,135,49,10,1,26,4,5,-3,11,20,1,2,1,1,6,0,3,2,4,0,24,0,76
SUMO4,78,4,192,0,0,11,0,0,34,0,0,8,5,1,31,0,1,3,0,0,2,0,0,6,0,2,7,0,0,4,2,1,24,322,322,110,74,11,0,34,0,8,0,25,4,2,-1,2,0,6,0,5,-2,4,0,21,1,76
FAM177B,41,5,192,0,0,11,8,0,34,0,1,8,27,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,5,0,24,322,322,146,36,11,0,26,8,7,-1,4,27,3,0,2,0,6,0,7,0,4,0,19,5,75
B3GALT4,56,0,192,1,4,11,6,0,34,0,0,8,15,0,31,0,0,3,0,0,2,0,0,6,1,0,7,0,0,4,0,0,24,322,322,136,56,6,-3,28,6,8,0,16,15,3,0,2,0,6,0,6,1,4,0,24,0,75
CACNA1G,46,3,192,2,0,11,10,0,34,0,0,8,17,0,31,1,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,143,43,9,2,24,10,8,0,14,17,2,1,1,1,6,0,7,0,4,0,24,0,74
RASD1,52,1,192,1,0,11,11,3,34,0,0,8,10,1,31,0,0,3,1,0,2,0,0,6,1,0,7,0,0,4,4,1,24,322,322,139,51,10,1,20,8,8,0,20,9,3,0,1,1,6,0,6,1,4,0,19,3,74
KLHL25,30,0,192,0,0,11,21,0,34,1,0,8,19,0,31,2,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,162,30,11,0,13,21,7,1,12,19,1,2,1,1,6,0,7,0,4,0,24,0,74
