 GeneName,HN5_42.4℃(from 39.5±0.2°C):No_description.,HN5_39℃:60min.,HN5_42℃:30min.,HN5_38℃:120min/day_3days,HN5_42℃:60min.,HN5_43℃:45min.,HN5_42℃:45min.,HN5_42℃:135min.,HN5_38℃:720min.,HN5_35 ± 1°C:6d.,HN5_39℃:1440min.,HN5_42℃:20min.,HN5_43℃:25min.,HN5_45℃:60min.,HN5_39℃:180min.,HN5_43℃:30min.,HN5_36℃:120min./day_13days.,HN5_44℃:120min.,HN5_41.5 °C ± 0.2 °C:15min.,HN5_42℃:480min.,HN5_39.5℃:3d.,HN5_43℃:31min.,HN5_43℃:32min.,HN5_43℃:33min.,HN5_43℃:34min.,HN5_43℃:35min.,HN5_44℃_48℃:120min._480min.,HN5_42℃:25min.,HN5_42℃:40min.,HN5_42℃:12min.,HN5_42℃:2.5min.,HN5_45℃:15min.
Adora2a,0,0,7,0,0,1,0,0,1,0,0,3,0,4,0,-3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Lrit3,0,0,3,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddit4,10,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,5,0,5,0,0,0,0,0,0,0,0,-2,0,0,0,0
Noxred1,3,0,2,0,2,2,0,3,0,2,0,-4,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0
Rasl11a,2,0,1,0,1,0,0,0,0,0,1,8,2,3,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-2,0
Slc5a3,3,0,2,0,1,0,0,2,0,0,0,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0
Fermt3,1,0,0,0,2,0,0,2,0,0,0,1,0,5,0,1,0,2,0,0,0,0,0,1,1,0,0,-1,2,0,-2,0
Ppp1r15a,3,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,-1,0,0,-2,0
Hspd1,2,0,1,0,2,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-2,0
Oxt,-2,2,0,1,3,1,0,1,-1,1,0,3,1,4,0,2,1,1,0,0,-1,0,0,0,-1,0,0,-1,0,2,1,0
Ubc,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,4,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Selplg,0,0,2,0,2,1,0,-1,0,0,0,0,0,2,0,-3,1,0,0,0,0,0,0,1,0,1,0,2,0,5,-1,0
Gadd45g,3,-2,1,0,3,1,2,2,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,-1,0,0,0,0
Socs3,3,0,3,0,3,0,0,0,0,0,0,6,3,0,0,-3,0,0,1,0,0,0,0,1,0,0,0,0,2,0,-2,0
Chac1,14,4,0,0,2,0,0,3,1,0,0,0,0,-1,0,6,-2,1,0,0,0,0,0,1,1,0,1,-1,2,0,-2,0
Arl9,1,0,5,0,2,3,0,2,0,0,0,-1,1,0,0,3,-4,0,3,0,1,0,0,-1,0,0,0,3,1,2,-2,0
Ccdc194,1,0,1,0,2,1,0,0,-1,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,-1,0,0,0,4,0,-1,0
Tmc4,2,0,0,0,-1,1,0,1,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,-2,0,1,0,0
Hey1,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspe1,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prr18,0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Cd79a,0,0,2,0,1,1,0,2,0,1,0,3,3,2,0,-2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,-1,0
